Make,Model,Year,Fuel Type,MPG Data,Combined Mpg For Fuel Type1,Co2  Tailpipe For Fuel Type1,Engine displacement
Honda,Accord,2012,Regular,Y,27,329.14814814814815,2.4
Jeep,Compass 4WD,2012,Regular,Y,23,386.39130434782606,2.4
Nissan,Pathfinder 2WD,2013,Regular,Y,22,406.0,3.5
BMW,535d,2015,Diesel,Y,30,334.0,3.0
Chevrolet,Cruze,2018,Diesel,Y,37,276.0,1.6
Jeep,Renegade 4WD,2019,Regular,Y,24,371.0,2.4
Hyundai,Tucson AWD,2022,Regular,Y,26,349.0,2.5
Volvo,C70 Convertible,2000,Premium,Y,20,444.35,2.3
Dodge,Dakota Pickup 4WD,2003,Regular,Y,15,592.4666666666667,4.7
Scion,xB,2006,Regular,Y,28,317.39285714285717,1.5
Chevrolet,HHR FWD,2006,Regular,Y,22,403.95454545454544,2.4
Mitsubishi,Outlander 2WD,2006,Regular,Y,21,423.1904761904762,2.4
Chevrolet,Silverado C15 2WD,2008,Regular,Y,17,522.7647058823529,4.3
Saab,9-7X AWD,2008,Regular,Y,16,555.4375,5.3
BMW,X3 xDrive30i,2021,Premium,Y,25,351.0,2.0
Tesla,Model 3 Standard Range Plus RWD,2021,Electricity,Y,142,0.0,
Polestar,2 Single Motor,2022,Electricity,Y,107,0.0,
GMC,Sierra C15 2WD,2011,Gasoline or E85,Y,16,555.4375,4.8
Dodge,Avenger,2011,Gasoline or E85,Y,22,403.95454545454544,3.6
Volkswagen,GTI,2012,Premium,Y,27,329.14814814814815,2.0
Kia,Forte Koup,2012,Regular,Y,28,317.39285714285717,2.0
Toyota,Avalon,2012,Regular,Y,22,403.95454545454544,3.5
Hyundai,Elantra Blue,2013,Regular,Y,32,285.0,1.8
Mazda,CX-5 2WD,2014,Regular,Y,27,328.0,2.5
Volkswagen,GTI,2014,Premium,Y,25,361.0,2.0
Honda,Civic 5Dr Sport,2018,Premium,Y,32,274.0,1.5
Porsche,Cayman,2017,Premium,Y,25,353.0,2.0
Chevrolet,S10 Pickup 2WD,2002,Regular,Y,16,555.4375,4.3
Mercury,Grand Marquis,2005,Regular,Y,19,467.7368421052632,4.6
Saturn,Vue FWD,2005,Regular,Y,20,444.35,3.5
BMW,Z4 3.0i,2006,Premium,Y,21,423.1904761904762,3.0
Subaru,Forester AWD,2007,Premium,Y,20,444.35,2.5
Lexus,IS F,2008,Premium,Y,18,493.72222222222223,5.0
Lexus,ES 300,2000,Regular,Y,20,444.35,3.0
Toyota,Echo,2000,Regular,Y,32,277.71875,1.5
Suzuki,Forenza Wagon,2005,Regular,Y,21,423.1904761904762,2.0
BMW,325ci,2001,Premium,Y,20,444.35,2.5
Toyota,Sienna 2WD,2002,Regular,Y,19,467.7368421052632,3.0
Toyota,Corolla,2005,Regular,Y,29,306.44827586206895,1.8
Volkswagen,Golf,2005,Diesel,Y,35,290.85714285714283,1.9
Ford,Escape Hybrid 4WD,2005,Regular,Y,27,329.14814814814815,2.3
Ford,Fusion FWD,2009,Regular,Y,23,386.39130434782606,2.3
Porsche,Macan,2018,Premium,Y,22,399.0,2.0
GMC,Envoy XL 4WD,2004,Regular,Y,15,592.4666666666667,4.2
BMW,330ci,2005,Premium,Y,21,423.1904761904762,3.0
Subaru,Impreza Wagon/Outback SPT AWD,2005,Regular,Y,23,386.39130434782606,2.5
BMW,750li,2006,Premium,Y,18,493.72222222222223,4.8
Lincoln,Mark LT,2006,Regular,Y,15,592.4666666666667,5.4
Mercedes-Benz,C230 Kompressor,2003,Premium,Y,24,370.2916666666667,1.8
Toyota,Yaris,2010,Regular,Y,32,277.71875,1.5
Volkswagen,Routan,2012,Gasoline or E85,Y,20,444.35,3.6
Dodge,Challenger,2013,Premium,Y,18,495.0,5.7
Nissan,Frontier 2WD,2013,Regular,Y,18,492.0,4.0
Nissan,Frontier 4WD,2013,Regular,Y,17,515.0,4.0
Jeep,Patriot FWD,2014,Regular,Y,25,349.0,2.0
Dodge,Dart Aero,2015,Premium,Y,32,280.0,1.4
Kia,Forte 5,2016,Regular,Y,24,370.0,1.6
Mazda,5,2012,Regular,Y,24,370.2916666666667,2.5
Toyota,Highlander 2WD,2013,Regular,Y,20,437.0,3.5
Daewoo,Nubira,2000,Regular,Y,22,403.95454545454544,2.0
Volkswagen,Jetta Wagon,2002,Premium,Y,24,370.2916666666667,1.8
Volkswagen,Passat,2003,Premium,Y,22,403.95454545454544,1.8
BMW,745li,2003,Premium,Y,19,467.7368421052632,4.4
Toyota,RAV4 4WD,2003,Regular,Y,22,403.95454545454544,2.0
Toyota,Camry,2004,Regular,Y,21,423.1904761904762,3.3
