
Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),MPG
Porsche,911,2022,3.0,379.0,331,4,"101,200",20.7
Lamborghini,Huracan,2021,5.2,630.0,443,2.8,"274,390",15.5
Ferrari,488 GTB,2022,3.9,661.0,561,3,"333,750",18.0
Audi,R8,2022,5.2,562.0,406,3.2,"142,700",15.7
McLaren,720S,2021,4.0,710.0,568,2.7,"298,000",17.6
BMW,M8,2022,4.4,617.0,553,3.1,"130,000",17.1
Mercedes-Benz,AMG GT,2021,4.0,523.0,494,3.8,"118,500",18.3
Chevrolet,Corvette,2021,6.2,490.0,465,2.8,"59,900",14.0
Ford,Mustang Shelby GT500,2022,5.2,760.0,625,3.5,"81,000",15.100000000000001
Nissan,GT-R Nismo,2021,3.8,600.0,481,2.5,"212,000",18.4
Aston Martin,DB11,2021,5.2,630.0,516,3.5,"201,495",15.5
Bugatti,Chiron,2021,8.0,1500.0,1180,2.4,"3,000,000",7.0
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656,3.5,"61,000",13.2
Jaguar,F-Type,2022,3.0,296.0,295,5.4,"70,100",21.0
Koenigsegg,Jesko,2021,5.0,1280.0,1015,2.5,"2,800,000",13.7
Lexus,LC 500,2021,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"104,450",19.6
Maserati,GranTurismo,2021,4.7,454.0,384,4.8,"150,000",17.1
Porsche,Boxster,2021,2.0,300.0,280,4.7,"62,000",23.0
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443,3.8,"78,000",20.5
Ariel,Atom,2021,2.0,320.0,243,2.8,"75,000",22.9
Bentley,Continental GT,2021,6.0,626.0,664,3.6,"225,000",13.9
McLaren,Artura,2022,3.0,671.0,531,3,"225,000",19.8
Mercedes-AMG,SLS AMG,2021,6.2,622.0,468,3.5,"248,000",13.5
Pagani,Huayra,2021,6.0,720.0,737,2.8,"2,800,000",13.6
Polestar,1,2021,2.0,600.0,738,4.1,"155,000",22.0
Rimac,Nevera,2022,,1914.0,1696,1.85,"2,400,000",17.99333333333333
Porsche,Cayman GT4,2022,4.0,414.0,309,3.8,"100,200",18.6
Lamborghini,Aventador SVJ,2021,6.5,759.0,531,2.8,"517,770",12.5
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS7,2022,4.0,591.0,590,3.5,"117,000",18.0
McLaren,Artura,2021,3.0,671.0,531,3,"225,000",19.8
BMW,M4,2022,3.0,503.0,479,3.8,"72,800",20.3
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468,3.2,"222,000",13.5
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,695",13.4
Ford,GT,2022,3.5,660.0,550,3,"500,000",18.8
Nissan,370Z Nismo,2021,3.7,350.0,276,4.5,"45,690",19.4
Porsche,Taycan 4S,2022,,562.0,479,3.8,"104,000",17.99333333333333
Lamborghini,Urus,2021,4.0,641.0,626,3.5,"218,000",17.9
Ferrari,Roma,2021,3.9,611.0,561,3.3,"222,000",18.2
Audi,RS3,2022,2.5,394.0,369,3.9,"57,000",21.7
McLaren,GT,2021,4.0,612.0,465,3.1,"210,000",18.0
BMW,i8,2020,,369.0,420,4.2,"148,500",17.99333333333333
Mercedes-Benz,CLS63 AMG,2019,4.0,603.0,627,3.4,"132,000",18.0
Porsche,Cayman,2021,2.0,300.0,280,5.1,"58,900",23.0
Lamborghini,Aventador SVJ,2021,6.5,759.0,531,2.8,"518,000",12.5
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS3,2022,2.5,394.0,369,3.9,"56,200",21.7
